gateNo,typeAccepted,refuelingCapable,maxCartsAccepted,stationName,,stationName,location,,trainNo,departureTime,arrivalTime,routeStatus,,trainNo,totalLocomotiveCarts,totalTransportCarts,totalPassengerCarts,rdyForUtil,stationName
1093,passenger,No,88,IquitosSttaion Station,,IquitosSttaion Station,IquitosSttaion,,"71,035,386,432.00",03:10,,Arrived,,"71,035,386,432.00",2,13,10,TRUE,IquitosSttaion Station
83752,passenger,Yes,76,Bradford Station,,Bradford Station,Bradford,,"23,296,474,848.00",06:29,,Early,,"23,296,474,848.00",0,16,14,TRUE,Bradford Station
15619,passenger,Yes,79,Aparecida de GoiÃ¢nia Station,,Aparecida de GoiÃ¢nia Station,Aparecida de GoiÃ¢nia,,"23,533,870,965.00",02:33,,On-Time,,"23,533,870,965.00",2,9,14,FALSE,Aparecida de GoiÃ¢nia Station
56943,cargo,Yes,86,Háº¡ Long Station,,Háº¡ Long Station,Háº¡ Long,,"32,320,942,818.00",19:45,,On-Time,,"32,320,942,818.00",1,12,4,FALSE,Háº¡ Long Station
74519,cargo,Yes,73,Äá»“ng XoÃ i Station,,Äá»“ng XoÃ i Station,Äá»“ng XoÃ i,,"773,289,381.00",03:47,,On-Time,,"773,289,381.00",2,13,18,FALSE,Äá»“ng XoÃ i Station
22670,cargo,No,33,Lagos Station,,Lagos Station,Lagos,,"99,124,084,421.00",13:01,,Arrived,,"99,124,084,421.00",0,7,2,FALSE,Lagos Station
41070,cargo,No,70,Zwolle Station,,Zwolle Station,Zwolle,,"33,647,345,913.00",08:17,,Early,,"33,647,345,913.00",1,5,16,TRUE,Zwolle Station
52876,passenger,Yes,68,Allentown Station,,Allentown Station,Allentown,,"49,841,953,107.00",04:18,,Early,,"49,841,953,107.00",2,2,14,TRUE,Allentown Station
36356,passenger,No,70,Hunan Station,,Hunan Station,Hunan,,"59,792,458,358.00",20:13,,Scheduled,,"59,792,458,358.00",2,16,15,FALSE,Hunan Station
20807,passenger,Yes,15,Rostov Station,,Rostov Station,Rostov,,"13,087,575,994.00",08:36,,Boarding,,"13,087,575,994.00",0,2,8,FALSE,Rostov Station
56009,cargo,No,30,Báº¡c LiÃªu Station,,Báº¡c LiÃªu Station,Báº¡c LiÃªu,,"97,756,128,621.00",14:40,,Boarding,,"97,756,128,621.00",0,3,13,TRUE,Báº¡c LiÃªu Station
58336,passenger,Yes,38,Tomsk Station,,Tomsk Station,Tomsk,,"97,286,049,860.00",12:02,,Boarding,,"97,286,049,860.00",0,3,6,TRUE,Tomsk Station
71770,passenger,Yes,53,JaboatÃ£o dos Guararapes Station,,JaboatÃ£o dos Guararapes Station,JaboatÃ£o dos Guararapes,,"54,028,978,241.00",14:06,,Scheduled,,"54,028,978,241.00",2,14,11,TRUE,JaboatÃ£o dos Guararapes Station
9336,passenger,No,91,Grand-Halleux Station,,Grand-Halleux Station,Grand-Halleux,,"2,595,739,209.00",05:59,,Boarding,,"2,595,739,209.00",0,19,4,FALSE,Grand-Halleux Station
79367,passenger,Yes,35,Nizhny Station,,Nizhny Station,Nizhny,,"30,604,700,404.00",05:14,,On-Time,,"30,604,700,404.00",1,2,4,TRUE,Nizhny Station
80859,cargo,Yes,66,Calais Station,,Calais Station,Calais,,"1,215,299,373.00",23:18,,Arrived,,"1,215,299,373.00",2,1,12,TRUE,Calais Station
21660,passenger,Yes,84,Hamburg Station,,Hamburg Station,Hamburg,,"31,764,435,794.00",20:33,,On-Time,,"31,764,435,794.00",1,15,20,FALSE,Hamburg Station
20552,passenger,Yes,39,Bannu Station,,Bannu Station,Bannu,,"34,371,976,451.00",02:30,,On-Time,,"34,371,976,451.00",0,6,10,FALSE,Bannu Station
13722,passenger,Yes,38,Gangneung Station,,Gangneung Station,Gangneung,,"79,864,559,453.00",06:46,,On-Time,,"79,864,559,453.00",0,7,19,TRUE,Gangneung Station
15049,cargo,No,25,Gwangyang Station,,Gwangyang Station,Gwangyang,,"10,921,767,377.00",06:59,,Scheduled,,"10,921,767,377.00",1,17,3,TRUE,Gwangyang Station
96493,passenger,No,59,Waiheke Island Station,,Waiheke Island Station,Waiheke Island,,"9,159,945,016.00",06:54,,Arrived,,"9,159,945,016.00",0,7,19,FALSE,Waiheke Island Station
62281,cargo,Yes,44,Dangjin Station,,Dangjin Station,Dangjin,,"52,002,898,889.00",23:04,,Boarding,,"52,002,898,889.00",0,19,13,FALSE,Dangjin Station
47677,cargo,Yes,72,Stonewall Station,,Stonewall Station,Stonewall,,"22,093,493,736.00",07:01,,Early,,"22,093,493,736.00",1,2,7,TRUE,Stonewall Station
60644,passenger,No,92,Goulburn Station,,Goulburn Station,Goulburn,,"37,711,433,384.00",23:29,,On-Time,,"37,711,433,384.00",1,5,5,FALSE,Goulburn Station
18424,passenger,Yes,95,Mercedes Station,,Mercedes Station,Mercedes,,"68,251,009,120.00",00:31,,On-Time,,"68,251,009,120.00",1,16,17,FALSE,Mercedes Station
68614,cargo,No,77,Lelystad Station,,Lelystad Station,Lelystad,,"62,984,280,811.00",18:54,,Early,,"62,984,280,811.00",2,1,1,TRUE,Lelystad Station
39576,passenger,No,71,Sint-Agatha-Berchem Station,,Sint-Agatha-Berchem Station,Sint-Agatha-Berchem,,"10,592,712,142.00",18:05,,On-Time,,"10,592,712,142.00",2,20,10,TRUE,Sint-Agatha-Berchem Station
7657,passenger,No,12,Kursk Station,,Kursk Station,Kursk,,"81,388,980,575.00",14:27,,Arrived,,"81,388,980,575.00",0,3,9,FALSE,Kursk Station
15946,cargo,No,89,San Pedro de la Paz Station,,San Pedro de la Paz Station,San Pedro de la Paz,,"83,448,110,688.00",03:37,,Arrived,,"83,448,110,688.00",1,10,1,TRUE,San Pedro de la Paz Station
78567,cargo,No,61,Arica Station,,Arica Station,Arica,,"28,912,225,672.00",16:34,,Early,,"28,912,225,672.00",1,9,15,TRUE,Arica Station
39923,passenger,Yes,36,Yurimaguas Station,,Yurimaguas Station,Yurimaguas,,"31,844,506,744.00",03:04,,Boarding,,"31,844,506,744.00",2,10,19,FALSE,Yurimaguas Station
84073,cargo,No,93,Kurram Agency Station,,Kurram Agency Station,Kurram Agency,,"60,418,624,692.00",20:50,,Arrived,,"60,418,624,692.00",2,9,0,FALSE,Kurram Agency Station
44474,passenger,Yes,14,Chungju Station,,Chungju Station,Chungju,,"7,801,084,284.00",23:05,,On-Time,,"7,801,084,284.00",0,11,15,FALSE,Chungju Station
81428,cargo,No,21,Saarlouis Station,,Saarlouis Station,Saarlouis,,"24,989,327,674.00",04:21,,Arrived,,"24,989,327,674.00",0,5,5,TRUE,Saarlouis Station
83730,cargo,Yes,18,Quáº£ng NgÃ£i Station,,Quáº£ng NgÃ£i Station,Quáº£ng NgÃ£i,,"2,908,225,261.00",13:26,,Boarding,,"2,908,225,261.00",1,13,7,FALSE,Quáº£ng NgÃ£i Station
30257,cargo,Yes,36,Tam Ká»³ Station,,Tam Ká»³ Station,Tam Ká»³,,"99,053,517,226.00",06:42,,Scheduled,,"99,053,517,226.00",1,16,7,FALSE,Tam Ká»³ Station
